question,ground_truth_answer,predicted_answer,exact_match,f1_score,confidence,confidence_label,source_filename,escalated,category,evaluated_at
What are the enrollment requirements for new students?,PSA-authenticated Birth Certificate Form 138 Certificate of Good Moral Character two pieces 2x2 ID photos and an accomplished LdCU Enrollment Form,24 units,0,0.0,0.3739,low,LdCU_Enrollment_Guide.pdf,False,enrollment,2026-07-20T08:09:47.807773
What documents are required for transferee students?,Honorable Dismissal Official Transcript of Records PSA-authenticated Birth Certificate,"Honorable Dismissal, Official Transcript of Records,
PSA-authenticated Birth Certificate, Certificate of Good Moral Character, two pieces 2x2 ID photos,
and an accomplished LdCU Transfer Evaluation Form",0,0.5143,0.2139,low,LdCU_Enrollment_Guide.pdf,True,enrollment,2026-07-20T08:09:48.964174
What is the maximum number of units a student can enroll in per semester?,27 units for regular students,27,0,0.3333,0.4867,medium,LdCU_Enrollment_Guide.pdf,False,enrollment,2026-07-20T08:09:50.128353
How many units can freshmen enroll in during their first semester?,24 units,24,0,0.6667,0.5976,medium,LdCU_Enrollment_Guide.pdf,False,enrollment,2026-07-20T08:09:51.270036
How many units can students on academic probation enroll in?,18 units per semester,18,0,0.4,0.3494,low,LdCU_Enrollment_Guide.pdf,False,enrollment,2026-07-20T08:09:52.362638
What is the late enrollment fee?,Php 200.00,Php 200.00,1,1.0,0.7444,high,LdCU_Enrollment_Guide.pdf,False,enrollment,2026-07-20T08:09:53.530278
What is the down payment requirement for enrollment?,50% down payment is required before official enrollment is confirmed,50%,0,0.1818,0.7511,high,LdCU_Enrollment_Guide.pdf,False,enrollment,2026-07-20T08:09:54.678182
When is the enrollment period for the first semester?,July 15 to August 2 2025,"July 15 – August 2, 2025",0,0.9091,0.273,low,LdCU_Academic_Calendar_2025_2026.pdf,True,enrollment,2026-07-20T08:09:55.783429
When is the last day of late enrollment for the first semester?,August 9 2025,"August 9, 2025",1,1.0,0.3053,low,LdCU_Academic_Calendar_2025_2026.pdf,False,academic_calendar,2026-07-20T08:09:57.005555
When does the first semester start?,August 4 2025,"August 4, 2025",1,1.0,0.8653,high,LdCU_Academic_Calendar_2025_2026.pdf,False,academic_calendar,2026-07-20T08:09:58.173211
